X_upper,Y_upper,X_lower,Y_lower
0.0,0.0,0.0,
0.00035000000000000005,0.35,0.00035000000000000005,-0.35
0.0015,0.75,0.0015,-0.75
0.004,1.185,0.004,-1.185
0.006999999999999999,1.5,0.006999999999999999,-1.5
0.0125,1.87,0.0125,-1.87
0.02,2.22,0.02,-2.22
0.0325,2.63,0.0325,-2.63
0.05,3.04,0.05,-3.04
0.075,3.46,0.075,-3.46
0.11,3.86,0.11,-3.86
0.11667,,0.11667,-3.91
0.15,4.16,0.15,-4.16
0.2,4.41,0.2,-4.41
0.25,4.56,0.25,-4.56
0.3,4.63,0.3,-4.63
0.35,4.65,0.35,-4.65
0.4,4.62,0.4,-4.62
0.45,4.56,0.45,-4.55
0.5,4.44,0.5,-4.43
0.55,4.29,0.55,-4.23
0.6,4.09,0.6,-3.89
0.65,3.84,0.65,-3.31
0.7,3.53,0.7,-2.43
0.75,3.17,0.75,-1.63
0.8,2.74,0.8,-0.99
0.85,2.22,0.85,-0.52
0.9,1.61,0.9,-0.28
0.94,1.02,0.94,-0.32
0.97,0.53,0.97,-0.58
0.985,0.26,0.985,-0.765
0.995,0.07,0.995,-0.91
1.0,-0.02,1.0,-1.0
