X_upper,Y_upper,X_lower,Y_lower
0.0,0.0,0.0,
0.035,0.350,0.035,-0.350
0.15,0.750,0.15,-0.750
0.40,1.185,0.40,-1.185
0.70,1.50,0.70,-1.50
1.25,1.87,1.25,-1.87
2.00,2.22,2.00,-2.22
3.25,2.63,3.25,-2.63
5.00,3.04,5.00,-3.04
7.50,3.46,7.50,-3.46
11.00,3.86,11.00,-3.86
11.667,,11.667,-3.91
15.0,4.16,15.0,-4.16
20.0,4.41,20.0,-4.41
25.0,4.56,25.0,-4.56
30.0,4.63,30.0,-4.63
35.0,4.65,35.0,-4.65
40.0,4.62,40.0,-4.62
45.0,4.56,45.0,-4.55
50.0,4.44,50.0,-4.43
55.0,4.29,55.0,-4.23
60.0,4.09,60.0,-3.89
65.0,3.84,65.0,-3.31
70.0,3.53,70.0,-2.43
75.0,3.17,75.0,-1.63
80.0,2.74,80.0,-0.99
85.0,2.22,85.0,-0.52
90.0,1.61,90.0,-0.28
94.0,1.02,94.0,-0.32
97.0,0.53,97.0,-0.58
98.5,0.26,98.5,-0.765
99.5,0.07,99.5,-0.91
100.0,-0.02,100.0,-1.00
