X_upper,Y_upper,X_lower,Y_lower
0.0,-0.027,,
0.011,0.193,0.059,-0.210
0.093,0.439,0.186,-0.327
0.275,0.732,0.404,-0.377
0.593,1.080,0.787,-0.330
1.052,1.447,1.592,-0.230
2.100,2.062,3.001,-0.079
3.643,2.703,5.518,0.189
5.672,3.240,9.537,0.488
7.687,3.552,13.551,0.682
9.695,3.714,17.559,0.736
11.698,3.741,21.557,0.611
13.693,3.578,24.549,0.364
15.681,3.291,26.538,0.097
18.164,2.869,28.027,-0.166
21.636,2.214,29.018,-0.385
24.610,1.618,29.513,-0.499
26.591,1.180,,
28.076,0.842,,
29.066,0.604,,
29.560,0.479,,
